GPAX,Rate,Learning_style_1,Learning_style_2,Learning_style_3,Learning_style_4,Learning_style_5,Learning_style_6,Learning_style_7,Learning_style_8,Learning_style_9,Learning_style_10,Learning_style_11,Learning_style_12,Learning_style_13,Learning_style_14,Learning_style_15,Learning_style_16,Learning_style_17,Learning_style_18,Learning_style_19,Learning_style_20,Learning_style_21,Learning_style_22,Learning_style_23,Learning_style_24,Learning_style_25,Learning_style_26,Learning_style_27,Learning_style_28,Learning_style_29,Learning_style_30
3.9,A,3,5,3,3,4,4,5,2,2,4,2,4,3,1,4,4,2,3,4,2,4,4,3,3,1,5,2,2,2,2
3.9,A,3,3,2,4,4,5,3,3,2,5,5,5,5,5,5,5,5,5,2,3,1,4,4,4,4,3,5,4,5,5
3.35,B,3,4,3,3,3,4,5,3,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,3,4,4,1,4,4
3.3,B,2,2,1,2,2,3,5,5,2,4,2,3,5,2,2,3,5,5,4,4,4,3,3,5,1,5,5,5,4,5
3.29,B,4,5,4,3,4,3,2,4,4,3,5,4,3,3,5,5,4,3,4,3,5,3,3,3,3,4,3,3,3,4
2.95,C,4,4,4,3,4,4,4,3,5,4,4,4,4,3,3,4,5,4,4,5,3,4,4,4,3,4,4,3,4,4
2.86,C,4,3,5,4,4,3,5,4,3,5,3,4,3,3,3,4,5,3,4,5,4,4,5,2,2,4,3,3,1,3
2.85,C,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,5,3
2.43,D,3,4,5,5,4,3,4,4,2,4,4,4,3,2,5,4,4,2,4,4,5,5,3,4,1,3,3,1,3,3
2.4,D,4,3,4,3,4,3,4,4,2,4,2,5,5,5,4,4,4,4,4,4,1,2,3,4,5,2,1,4,3,1
2.4,D,3,4,5,5,4,3,4,2,4,3,4,4,4,4,4,1,3,2,5,4,1,2,3,4,5,2,1,4,3,1
2.33,D,1,4,4,2,3,3,4,5,2,4,2,4,2,3,4,4,2,3,5,4,1,2,3,4,5,2,1,4,3,1
2.32,D,5,5,5,5,3,3,4,5,4,3,4,3,5,4,1,4,2,1,2,3,1,2,3,4,5,2,1,4,3,1
2.3,D,3,3,4,5,3,4,3,4,5,4,5,4,4,4,3,3,4,3,5,4,1,2,3,4,5,2,1,4,3,1
1.86,E,2,2,3,5,2,5,4,4,1,1,5,5,5,5,4,4,4,3,4,4,1,2,3,4,5,2,1,4,3,1
1.3,E,3,5,5,4,1,1,1,1,1,1,1,1,1,1,3,5,1,2,4,3,1,2,3,4,5,2,1,4,3,1
